customer_id,segment,base_return_rate,description,return_variance
CUST_1001,low_returner,0.0,Never returns,-0.012545988115263751
CUST_1002,low_returner,0.0,Never returns,0.04507143064099162
CUST_1003,low_returner,0.0,Never returns,0.023199394181140504
CUST_1004,low_returner,0.0,Never returns,0.009865848419703657
CUST_1005,low_returner,0.0,Never returns,-0.03439813595575635
CUST_1006,low_returner,0.0,Never returns,-0.03440054796637974
CUST_1007,low_returner,0.0,Never returns,-0.044191638783180054
CUST_1008,low_returner,0.0,Never returns,0.03661761457749352
CUST_1009,low_returner,0.0,Never returns,0.010111501174320879
CUST_1010,low_returner,0.0,Never returns,0.020807257779604543
CUST_1011,low_returner,0.0,Never returns,-0.04794155057041976
CUST_1012,low_returner,0.0,Never returns,0.04699098521619943
CUST_1013,low_returner,0.0,Never returns,0.03324426408004218
CUST_1014,low_returner,0.0,Never returns,-0.028766088932172387
CUST_1015,low_returner,0.0,Never returns,-0.031817503279289935
CUST_1016,low_returner,0.0,Never returns,-0.03165954901465662
CUST_1017,low_returner,0.0,Never returns,-0.019575775704046228
CUST_1018,low_returner,0.0,Never returns,0.0024756431632237813
CUST_1019,low_returner,0.0,Never returns,-0.006805498135788422
CUST_1020,low_returner,0.0,Never returns,-0.02087708598019581
CUST_1021,low_returner,0.0,Never returns,0.011185289472237944
CUST_1022,low_returner,0.0,Never returns,-0.03605061393479582
CUST_1023,low_returner,0.0,Never returns,-0.020785535146478185
CUST_1024,low_returner,0.0,Never returns,-0.01336381567063083
CUST_1025,low_returner,0.0,Never returns,-0.004393001578296404
CUST_1026,low_returner,0.0,Never returns,0.02851759613930137
CUST_1027,low_returner,0.0,Never returns,-0.030032621784164028
CUST_1028,low_returner,0.0,Never returns,0.0014234438413611578
CUST_1029,low_returner,0.0,Never returns,0.009241456886204244
CUST_1030,low_returner,0.0,Never returns,-0.04535495872800023
CUST_1031,low_returner,0.0,Never returns,0.01075448519014384
CUST_1032,low_returner,0.0,Never returns,-0.03294758763127085
CUST_1033,low_returner,0.0,Never returns,-0.043494840701472054
CUST_1034,low_returner,0.0,Never returns,0.04488855372533333
CUST_1035,low_returner,0.0,Never returns,0.04656320330745593
CUST_1036,low_returner,0.0,Never returns,0.03083973481164612
CUST_1037,low_returner,0.0,Never returns,-0.019538623082662934
CUST_1038,low_returner,0.0,Never returns,-0.040232788599361614
CUST_1039,low_returner,0.0,Never returns,0.018423302651215695
CUST_1040,low_returner,0.0,Never returns,-0.00598475062603987
CUST_1041,low_returner,0.0,Never returns,-0.03779617651552212
CUST_1042,low_returner,0.0,Never returns,-0.00048230898887298423
CUST_1043,low_returner,0.0,Never returns,-0.04656114788847816
CUST_1044,low_returner,0.0,Never returns,0.040932040207878204
CUST_1045,low_returner,0.0,Never returns,-0.02412200183999831
CUST_1046,low_returner,0.0,Never returns,0.016252228435398197
CUST_1047,low_returner,0.0,Never returns,-0.018828892391058907
CUST_1048,low_returner,0.0,Never returns,0.0020068021177810785
CUST_1049,low_returner,0.0,Never returns,0.004671027934327963
CUST_1050,low_returner,0.0,Never returns,-0.0315145544474473
CUST_1051,low_returner,0.0,Never returns,0.046958462776455864
CUST_1052,low_returner,0.0,Never returns,0.027513282336111458
CUST_1053,low_returner,0.0,Never returns,0.04394989415641891
CUST_1054,low_returner,0.0,Never returns,0.03948273504276488
CUST_1055,low_returner,0.0,Never returns,0.009789997881108514
CUST_1056,low_returner,0.0,Never returns,0.04218742350231168
CUST_1057,low_returner,0.0,Never returns,-0.04115074979480805
CUST_1058,low_returner,0.0,Never returns,-0.03040171375808548
CUST_1059,low_returner,0.0,Never returns,-0.0454772711089462
CUST_1060,low_returner,0.0,Never returns,-0.01746696692367357
CUST_1061,low_returner,0.0,Never returns,-0.0111322710310518
CUST_1062,low_returner,0.0,Never returns,-0.022865096822610412
CUST_1063,low_returner,0.0,Never returns,0.03287375091519294
CUST_1064,low_returner,0.0,Never returns,-0.014324667330641076
CUST_1065,low_returner,0.0,Never returns,-0.021906549031261924
CUST_1066,low_returner,0.0,Never returns,0.004269608315824847
CUST_1067,low_returner,0.0,Never returns,-0.03590757750252374
CUST_1068,low_returner,0.0,Never returns,0.030219698075403964
CUST_1069,low_returner,0.0,Never returns,-0.04254493563202292
CUST_1070,low_returner,0.0,Never returns,0.04868869366005173
CUST_1071,low_returner,0.0,Never returns,0.027224476929665745
CUST_1072,low_returner,0.0,Never returns,-0.03012843184658276
CUST_1073,low_returner,0.0,Never returns,-0.049447788287639766
CUST_1074,low_returner,0.0,Never returns,0.03154614284548342
CUST_1075,low_returner,0.0,Never returns,0.020685734384761706
CUST_1076,low_returner,0.0,Never returns,0.022900716804098734
CUST_1077,low_returner,0.0,Never returns,0.027127034668594577
CUST_1078,low_returner,0.0,Never returns,-0.04259553482659097
CUST_1079,low_returner,0.0,Never returns,-0.014153427145572738
CUST_1080,low_returner,0.0,Never returns,-0.03841309404748703
CUST_1081,low_returner,0.0,Never returns,0.03631034258755936
CUST_1082,low_returner,0.0,Never returns,0.012329812682755792
CUST_1083,low_returner,0.0,Never returns,-0.016910197514735083
CUST_1084,low_returner,0.0,Never returns,-0.04364416497139764
CUST_1085,low_returner,0.0,Never returns,-0.01890176782843378
CUST_1086,low_returner,0.0,Never returns,-0.017481667797325295
CUST_1087,low_returner,0.0,Never returns,0.0229606178338064
CUST_1088,low_returner,0.0,Never returns,0.013755747135521315
CUST_1089,low_returner,0.0,Never returns,0.03872127425763265
CUST_1090,low_returner,0.0,Never returns,-0.002778507483805072
CUST_1091,low_returner,0.0,Never returns,-0.038040575406169834
CUST_1092,low_returner,0.0,Never returns,0.021324478722299506
CUST_1093,low_returner,0.0,Never returns,0.02607850486168975
CUST_1094,low_returner,0.0,Never returns,0.006127719756949625
CUST_1095,low_returner,0.0,Never returns,0.0270967179954561
CUST_1096,low_returner,0.0,Never returns,-0.0006204403635609243
CUST_1097,low_returner,0.0,Never returns,0.0022732829381994085
CUST_1098,low_returner,0.0,Never returns,-0.0072458981641450385
CUST_1099,low_returner,0.0,Never returns,-0.04745808732559048
CUST_1100,low_returner,0.0,Never returns,-0.03921085730066956
CUST_1101,low_returner,0.0,Never returns,-0.04685708143132658
CUST_1102,low_returner,0.0,Never returns,0.01364104112637804
CUST_1103,low_returner,0.0,Never returns,-0.018564401892367334
CUST_1104,low_returner,0.0,Never returns,0.0008570691164702798
CUST_1105,low_returner,0.0,Never returns,0.0407566473926093
CUST_1106,low_returner,0.0,Never returns,-0.025070777085112506
CUST_1107,low_returner,0.0,Never returns,-0.008961707696437025
CUST_1108,low_returner,0.0,Never returns,0.025555113854304867
CUST_1109,low_returner,0.0,Never returns,-0.027120183450837755
CUST_1110,low_returner,0.0,Never returns,-0.0423020090171207
CUST_1111,low_returner,0.0,Never returns,-0.021024854708623197
CUST_1112,low_returner,0.0,Never returns,-0.033877871274599555
CUST_1113,low_returner,0.0,Never returns,0.042969765234257315
CUST_1114,low_returner,0.0,Never returns,0.030812037956441704
CUST_1115,low_returner,0.0,Never returns,0.013340375651042347
CUST_1116,low_returner,0.0,Never returns,0.03714605901877177
CUST_1117,low_returner,0.0,Never returns,0.030367207689911455
CUST_1118,low_returner,0.0,Never returns,-0.03134299411139642
CUST_1119,low_returner,0.0,Never returns,0.039255899848997786
CUST_1120,low_returner,0.0,Never returns,0.003934224191565069
CUST_1121,low_returner,0.0,Never returns,0.03074401551640625
CUST_1122,low_returner,0.0,Never returns,0.03960912999234932
CUST_1123,low_returner,0.0,Never returns,-0.018199652502813614
CUST_1124,low_returner,0.0,Never returns,-0.03899480754723233
CUST_1125,low_returner,0.0,Never returns,-0.027206483745805834
CUST_1126,low_returner,0.0,Never returns,-0.007289221137374367
CUST_1127,low_returner,0.0,Never returns,0.031801476592249314
CUST_1128,low_returner,0.0,Never returns,0.036073058325634344
CUST_1129,low_returner,0.0,Never returns,-0.04930478694688093
CUST_1130,low_returner,0.0,Never returns,0.001074730257756576
CUST_1131,low_returner,0.0,Never returns,-0.008258899685122098
CUST_1132,low_returner,0.0,Never returns,-0.027789218952926978
CUST_1133,low_returner,0.0,Never returns,-0.03801346326663172
CUST_1134,low_returner,0.0,Never returns,-0.016238482859637207
CUST_1135,low_returner,0.0,Never returns,0.04429097039125192
CUST_1136,low_returner,0.0,Never returns,-0.01767970679792448
